lane_label,x,y,kD,prominence,peak_height,extrapolated
M,13,277,369.79,10.85,6.43,True
M,13,323,227.29,24.45,15.98,False
M,13,361,152.04,20.56,15.72,False
M,13,400,100.64,35.23,25.60,False
M,13,452,58.05,24.27,15.40,False
M,13,487,40.08,33.99,23.45,False
M,13,512,30.77,22.42,14.83,False
M,13,526,26.53,27.22,17.99,True
1,48,399,101.71,49.61,39.37,False
1,48,427,75.63,47.72,35.12,False
1,48,454,56.83,17.15,7.12,False
1,48,475,45.51,85.35,71.76,False
1,48,510,31.43,60.64,35.87,False
1,48,528,25.98,112.37,79.26,True
2,87,360,153.66,15.67,7.98,False
2,87,399,101.71,67.44,53.20,False
2,87,428,74.83,81.86,58.22,False
2,87,455,56.24,44.31,21.21,False
2,87,475,45.51,64.56,41.00,False
2,87,510,31.43,50.36,29.72,False
2,87,528,25.98,98.93,73.92,True
3,119,314,250.00,26.68,20.53,True
3,119,361,152.04,17.88,8.93,False
3,119,398,102.79,19.38,9.27,False
3,119,427,75.63,43.27,27.87,False
3,119,454,56.83,59.49,39.14,False
3,119,474,45.99,20.83,8.13,False
3,119,509,31.76,75.95,50.10,False
4,154,341,187.87,15.96,10.38,False
4,154,359,155.29,54.20,42.82,False
4,154,398,102.79,96.14,74.73,False
4,154,421,80.58,71.78,53.28,False
4,154,433,70.98,32.41,16.81,False
4,154,444,63.18,51.96,34.30,False
4,154,476,45.03,85.67,70.12,False
4,154,511,31.09,31.23,21.51,False
5,190,340,189.87,17.00,13.80,False
5,190,396,104.99,11.02,5.55,False
5,190,424,78.07,45.08,34.97,False
5,190,435,69.49,38.82,23.88,False
5,190,459,53.91,76.18,48.14,False
5,190,500,34.93,40.78,25.71,False
5,190,518,28.87,28.85,19.74,True
6,220,396,104.99,26.90,19.17,False
6,220,424,78.07,14.94,7.85,False
6,220,449,59.92,13.31,6.78,False
6,220,473,46.48,84.22,67.84,False
6,220,494,37.22,22.39,15.33,False
6,220,509,31.76,16.89,10.94,False
7,262,320,234.62,8.49,4.32,True
7,262,384,119.20,11.39,6.41,False
7,262,418,83.18,8.05,5.74,False
7,262,446,61.85,3.49,4.09,False
7,262,459,53.91,9.30,4.53,False
7,262,488,39.66,15.35,9.83,False
7,262,521,27.97,54.53,32.88,True
